1982,5323.35,447.3,1212.33,102,771.3
1983,5962.65,572.6,1366.95,102,860.1
1984,7208.05,776.62,1642.86,102.7,1201.00
1985,9016.04,1622.60,2004.82,109.3,2066.70
1986,10275.18,1471.45,2122.01,106.5,2580.40
1987,12058.62,2067.60,2199.35,107.3,3084.20
1988,15042.82,2659.16,2357.24,118.8,3821.80
1989,16992.32,5196.40,2664.90,209.9,4155.9
1990,18667.82,7119.60,2937.10,216.4,5560.1
1991,21781.50,9244.90,3149.48,223.8,7225.8
1992,26923.48,11757.30,3483.37,238.1,9119.6
1993,35333.92,15203.50,4348.95,273.1,11271
1994,48197.86,21518.80,5218.10,339,20381.9
1995,60793.73,29662.30,6242.20,396.9,23499.9
1996,71176.59,38520.80,7407.99,429.9,24133.8
1997,78973.03,46279.80,8651.14,441.9,26967.2
1998,84402.28,53407.47,9875.95,438.4,26849.7
1999,89677.05,59621.83,11444.08,432.2,29896.2
2000,99214.55,64332.38,13395.23,434,39273.2
2001,109655.17,73762.43,16386.04,437,42183.6
2002,120332.69,86910.65,18903.64,433.5,51378.2
2003,135822.76,103617.65,21715.25,438.7,70483.5
2004,159878.34,119555.39,26396.47,455.8,95539.1
2005,184937.37,141050.99,31649.29,464,116921.8
2006,216314.43,161587.30,38760.20,471,140974
2007,265810.31,172534.19,51321.78,493.6,166863.7
2008,314045.43,217885.35,61330.35,522.7,179921.47
2009,340902.81,260771.66,68518.30,519,150648.06
2010,401512.80,303302.49,83101.51,536.1,201722.15
2011,473104.05,343635.89,103874.43,565,236401.99
